GPU: NVIDIA B200  H=16 HV=64 K=V=128

[test-mild B=8] 18 iterations, T=4 drafts/iter, window=16
 it         h  acc |     seq16    branch   wy2call    REPLAY |  rp-vs-wy  nan | flush(ckpt drift: kernel/prod vs fp32)
 12      3-11  2.8 |  5.49e-04  6.46e-04  6.46e-04  3.66e-04 |  6.10e-04    0 | FLUSH#3 5.18e-03/1.16e-02
 13       0-0  3.0 |  5.72e-04  5.71e-04  5.40e-04  2.62e-04 |  5.80e-04    0 | 
 14       1-4  2.6 |  3.65e-04  3.54e-04  4.11e-04  3.24e-04 |  4.88e-04    0 | 
 15       3-7  2.5 |  3.32e-04  3.34e-04  3.83e-04  3.71e-04 |  3.66e-04    0 | 
 16      4-11  2.1 |  2.73e-04  2.75e-04  3.39e-04  3.39e-04 |  3.36e-04    0 | FLUSH#4 2.86e-03/6.35e-03
 17       0-0  2.8 |  2.64e-04  2.99e-04  3.71e-04  3.71e-04 |  2.44e-04    0 | 
  -> 4 flushes in 18 iterations

[strong-decay B=256] 18 iterations, T=4 drafts/iter, window=16
 it         h  acc |     seq16    branch   wy2call    REPLAY |  rp-vs-wy  nan | flush(ckpt drift: kernel/prod vs fp32)
  0       0-0  2.4 |  1.12e-03  9.74e-04  1.56e-03  1.56e-03 |  0.00e+00    0 | 
  1       1-4  2.5 |  1.15e-03  1.27e-03  1.41e-03  1.33e-03 |  1.95e-03    0 | 
  2       2-8  2.5 |  1.04e-03  1.38e-03  1.32e-03  1.34e-03 |  1.95e-03    0 | 
  3      3-12  2.5 |  1.04e-03  1.18e-03  1.29e-03  1.26e-03 |  1.95e-03    0 | FLUSH#1 7.81e-03/3.51e-02
  4       0-0  2.6 |  1.14e-03  1.09e-03  1.37e-03  8.72e-04 |  1.46e-03    0 | 
  5       1-4  2.5 |  1.15e-03  1.23e-03  1.26e-03  7.56e-04 |  1.46e-03    0 | 
  6       2-8  2.6 |  1.06e-03  1.03e-03  1.20e-03  7.41e-04 |  1.34e-03    0 | 
  7      3-12  2.5 |  9.05e-04  9.34e-04  9.36e-04  8.03e-04 |  9.77e-04    0 | FLUSH#2 8.44e-03/2.77e-02
  8       0-0  2.4 |  1.00e-03  9.39e-04  1.13e-03  5.55e-04 |  1.10e-03    0 | 
  9       1-4  2.6 |  8.03e-04  8.86e-04  8.94e-04  6.43e-04 |  9.77e-04    0 | 
 10       2-8  2.5 |  7.48e-04  7.44e-04  9.89e-04  5.91e-04 |  9.77e-04    0 | 
 11      3-12  2.4 |  8.51e-04  8.86e-04  7.64e-04  6.89e-04 |  9.77e-04    0 | FLUSH#3 6.54e-03/2.49e-02
 12       0-0  2.5 |  5.91e-04  5.88e-04  6.34e-04  5.50e-04 |  6.71e-04    0 | 
 13       1-4  2.5 |  5.71e-04  5.81e-04  6.59e-04  5.33e-04 |  7.32e-04    0 | 
 14       2-8  2.6 |  7.54e-04  7.02e-04  9.46e-04  5.06e-04 |  7.32e-04    0 | 
 15      3-12  2.6 |  4.37e-04  4.72e-04  5.37e-04  5.37e-04 |  5.49e-04    0 | FLUSH#4 4.71e-03/1.52e-02
 16       0-0  2.6 |  4.50e-04  4.51e-04  5.20e-04  4.52e-04 |  4.88e-04    0 | 
 17       1-4  2.5 |  5.13e-04  3.74e-04  5.98e-04  5.98e-04 |  4.88e-04    0 | 
  -> 4 flushes in 18 iterations

[big-state B=8] 18 iterations, T=4 drafts/iter, window=16
 it         h  acc |     seq16    branch   wy2call    REPLAY |  rp-vs-wy  nan | flush(ckpt drift: kernel/prod vs fp32)
  0       0-0  2.5 |  6.09e-03  1.55e-02  2.09e-02  2.09e-02 |  0.00e+00    0 | 
  1       1-4  2.0 |  5.09e-03  9.63e-03  1.38e-02  1.18e-02 |  1.56e-02    0 | 
  2       2-6  2.2 |  4.13e-03  5.78e-03  5.88e-03  6.95e-03 |  7.81e-03    0 | 
  3       4-9  2.2 |  2.06e-03  2.93e-03  2.93e-03  1.75e-03 |  1.95e-03    0 | FLUSH#1 2.07e-02/5.92e-02
  4       0-0  2.9 |  1.59e-03  1.72e-03  1.72e-03  1.07e-03 |  1.95e-03    0 | 
  5       1-4  2.6 |  4.59e-04  5.00e-04  5.67e-04  5.67e-04 |  7.32e-04    0 | 
  6       4-8  1.8 |  1.12e-04  1.21e-04  3.38e-04  3.38e-04 |  2.44e-04    0 | 
  7       5-9  3.0 |  6.38e-05  1.21e-04  3.93e-04  4.01e-04 |  2.44e-04    0 | 
  8      7-12  2.2 |  5.41e-05  1.26e-04  3.47e-04  3.47e-04 |  2.44e-04    0 | FLUSH#2 1.94e-03/2.10e-03
  9       0-0  2.1 |  5.65e-05  1.23e-04  4.70e-04  4.70e-04 |  2.44e-04    0 | 
 10       1-4  2.9 |  5.65e-05  1.21e-04  3.78e-04  3.14e-04 |  2.44e-04    0 | 
 11       2-7  2.8 |  4.93e-05  1.20e-04  3.85e-04  3.85e-04 |  2.44e-04    0 | 
 12      3-11  2.8 |  5.13e-05  1.23e-04  3.22e-04  3.22e-04 |  2.44e-04    0 | FLUSH#3 1.94e-03/2.37e-03
 13       0-0  3.0 |  5.69e-05  1.22e-04  2.54e-04  2.54e-04 |  1.22e-04    0 | 
 14       1-4  2.6 |  6.39e-05  1.19e-04  3.05e-04  3.08e-04 |  2.44e-04    0 | 
