GPU: NVIDIA B200  H=16 HV=64 K=V=128

[test-mild B=8] 20 iters, per-request flush (h > 8)
 it         h   f% |     seq16    branch   wy2call    REPLAY |  nan | flushed-slot drift kernel/prod vs fp32
  8       3-9   12 |  9.61e-04  1.05e-03  1.11e-03  7.52e-04 |    0 | 1fl 7.00e-03/1.81e-02
  9      1-10   50 |  8.66e-04  1.04e-03  1.10e-03  8.49e-04 |    0 | 4fl 1.01e-02/2.97e-02
 10      1-11   25 |  1.00e-03  9.26e-04  1.20e-03  6.15e-04 |    0 | 2fl 6.17e-03/1.29e-02
 11       2-7    0 |  9.19e-04  8.61e-04  9.72e-04  6.84e-04 |    0 | 
 12       3-9   12 |  7.83e-04  8.43e-04  9.56e-04  5.82e-04 |    0 | 1fl 9.77e-03/2.55e-02
 13       1-9   12 |  7.67e-04  6.98e-04  8.32e-04  6.42e-04 |    0 | 1fl 6.33e-03/6.55e-03
 14      3-10   25 |  7.89e-04  8.24e-04  9.38e-04  7.04e-04 |    0 | 2fl 5.77e-03/9.31e-03
 15      1-12   25 |  6.67e-04  6.80e-04  7.78e-04  5.70e-04 |    0 | 2fl 5.43e-03/7.11e-03
 16       1-7    0 |  7.09e-04  6.37e-04  8.20e-04  4.93e-04 |    0 | 
 17      4-11   12 |  6.45e-04  6.50e-04  6.21e-04  5.43e-04 |    0 | 1fl 5.24e-03/5.43e-03
 18       3-9   37 |  6.93e-04  6.82e-04  8.04e-04  5.07e-04 |    0 | 3fl 9.92e-03/2.31e-02
 19      1-10   12 |  6.28e-04  6.32e-04  6.46e-04  5.28e-04 |    0 | 1fl 5.04e-03/5.36e-03
  -> 25 request-flush events in 20 iterations

[strong-decay B=256] 20 iters, per-request flush (h > 8)
 it         h   f% |     seq16    branch   wy2call    REPLAY |  nan | flushed-slot drift kernel/prod vs fp32
  0       0-0    0 |  1.12e-03  9.74e-04  1.56e-03  1.56e-03 |    0 | 
  1       1-4    0 |  1.18e-03  1.27e-03  1.51e-03  1.41e-03 |    0 | 
  2       2-8    0 |  1.06e-03  1.34e-03  1.52e-03  1.28e-03 |    0 | 
  3      3-12   10 |  1.17e-03  1.50e-03  1.46e-03  1.15e-03 |    0 | 27fl 1.11e-02/2.83e-02
  4      1-12   18 |  1.32e-03  1.22e-03  1.35e-03  1.06e-03 |    0 | 48fl 1.18e-02/3.08e-02
  5      1-12   19 |  1.16e-03  1.13e-03  1.43e-03  1.34e-03 |    0 | 49fl 1.09e-02/3.09e-02
  6      1-11   18 |  1.09e-03  1.21e-03  1.43e-03  9.77e-04 |    0 | 47fl 1.16e-02/3.85e-02
  7      1-12   16 |  1.09e-03  1.12e-03  1.25e-03  1.10e-03 |    0 | 42fl 1.13e-02/3.49e-02
  8      1-12   12 |  1.17e-03  1.19e-03  1.25e-03  8.63e-04 |    0 | 33fl 1.13e-02/2.84e-02
  9      1-11   36 |  1.01e-03  1.17e-03  1.38e-03  9.71e-04 |    0 | 93fl 1.14e-02/3.37e-02
 10      1-11   17 |  1.11e-03  1.18e-03  1.10e-03  9.94e-04 |    0 | 44fl 1.08e-02/3.29e-02
